customer_id,age,gender,region,tenure_months,monthly_charges,total_charges,contract,support_calls,satisfaction,signup_date,churn
CUST-000048,51,Male,East,49,44.47,1997.42,One year,2,1,2024-08-07,0
CUST-000049,36,Female,North,56,71.3,3669.99,Month-to-month,2,1,2021-04-06,0
CUST-000050,33,Male,East,54,63.15,3614.96,Two year,2,5,2024-08-15,0
CUST-000051,58,Female,North,14,61.58,860.67,Two year,0,2,2024-01-12,0
CUST-000052,71,Female,West,26,85.49,2107.83,Month-to-month,0,2,2023-09-26,1
CUST-000053,47,Female,North,34,78.5,2588.2,Month-to-month,0,1,2024-03-01,1
CUST-000054,27,Female,Central,36,77.9,2932.98,Month-to-month,2,4,2021-03-12,1
CUST-000055,34,Male,South,4,80.25,293.16,Month-to-month,2,1,2021-10-26,1
CUST-000056,29,Male,East,39,85.4,,Month-to-month,2,5,2021-01-02,0
CUST-000057,77,Female,North,11,17.3,194.72,Month-to-month,1,2,2024-01-23,1
CUST-000058,39,Male,South,53,60.89,3296.21,Two year,5,1,2022-05-12,1
CUST-000059,43,Male,Central,49,15.49,830.73,Month-to-month,3,4,2022-05-21,0
CUST-000060,22,Male,South,66,70.9,4561.99,Two year,1,2,2023-05-05,0
CUST-000061,47,Female,East,53,69.88,3381.48,Month-to-month,1,4,2022-08-16,0
CUST-000062,79,Female,Central,27,96.14,2615.27,Month-to-month,1,1,2023-06-12,1
CUST-000063,45,Male,West,69,99.69,7068.94,Month-to-month,4,5,2024-08-03,0
CUST-000064,61,Female,North,30,75.07,2089.77,Two year,0,2,2022-04-10,0
CUST-000065,30,Female,South,24,57.49,,Month-to-month,6,4,2024-06-02,1
CUST-000066,27,Female,South,65,82.13,5015.76,Month-to-month,1,5,2023-01-16,0
CUST-000067,67,Female,South,27,56.8,1639.34,One year,0,3,2022-06-10,0
CUST-000068,22,Female,South,6,69.97,447.96,One year,3,2,2024-07-10,0
CUST-000069,48,Male,East,34,94.65,3172.81,One year,2,2,2022-11-15,0
CUST-000070,39,Female,South,57,56.06,,Month-to-month,2,4,2021-06-28,0
CUST-000071,19,Male,South,14,90.14,1383.05,Month-to-month,1,1,2022-02-06,1
CUST-000072,53,Male,East,33,86.94,2656.28,Two year,0,1,2024-03-29,0
CUST-000073,82,Female,South,10,46.13,449.1,One year,1,4,2022-12-23,0
CUST-000074,22,Female,South,49,94.35,4715.91,One year,2,1,2023-02-24,0
CUST-000075,72,Male,East,34,87.46,2726.73,Month-to-month,1,2,2023-08-13,0
CUST-000076,54,Female,Central,24,72.55,1700.34,Month-to-month,6,4,2021-09-30,1
CUST-000077,66,Male,East,17,50.94,824.62,Two year,3,2,2021-05-10,1
CUST-000078,24,Male,East,41,48.52,2169.17,One year,2,5,2022-09-09,0
CUST-000079,76,Male,Central,48,56.56,2666.87,Month-to-month,1,5,2024-07-11,0
CUST-000080,18,Female,West,67,83.56,5892.63,Two year,2,1,2021-06-28,0
CUST-000081,78,Male,South,32,46.11,1442.09,One year,2,1,2023-10-04,1
CUST-000082,62,Male,South,12,80.94,899.76,Month-to-month,3,5,2024-10-02,1
CUST-000083,40,Female,East,60,38.96,2507.38,Month-to-month,0,1,2021-05-16,0
CUST-000084,18,Male,East,45,64.9,2628.69,One year,2,3,2021-07-06,0
CUST-000085,58,Female,North,50,72.74,3313.99,Month-to-month,5,5,2024-05-01,0
CUST-000086,23,Male,North,7,131.13,893.01,One year,3,3,2021-06-01,0
CUST-000087,58,Male,South,23,35.57,848.69,One year,0,2,2023-11-08,0
CUST-000088,69,Female,Central,55,106.8,5688.03,Month-to-month,3,1,2024-01-22,0
CUST-000089,35,Male,West,60,73.75,4041.19,Two year,0,2,2022-03-15,0
CUST-000090,33,Male,Central,31,80.28,2398.01,Month-to-month,3,3,2022-02-13,1
CUST-000091,32,Male,North,58,72.96,4015.85,Month-to-month,3,1,2023-01-01,1
CUST-000092,33,Male,East,60,81.12,4385.76,One year,4,3,2022-12-11,0
CUST-000093,25,Male,East,28,66.16,1865.37,One year,1,3,2024-04-19,0
CUST-000094,34,Male,East,64,106.35,6284.55,Month-to-month,0,2,2023-04-10,0
CUST-000095,62,Female,East,21,58.59,1178.1,One year,5,5,2024-09-17,0
CUST-000096,38,Male,South,18,98.31,1819.55,Two year,4,5,2021-12-02,1
CUST-000097,70,Male,North,49,53.89,2759.5,Two year,1,4,2022-01-29,0
CUST-000098,72,Male,Central,46,68.49,3001.49,Two year,1,3,2021-12-04,0
CUST-000099,68,Female,Central,10,43.2,,Month-to-month,1,3,2023-06-30,1
CUST-000100,54,Female,North,60,81.38,4635.64,Month-to-month,2,1,2021-02-16,0
CUST-000101,39,Female,East,15,106.13,1737.42,One year,2,2,2024-04-19,1
CUST-000102,80,Male,East,58,68.07,3703.69,Month-to-month,2,1,2023-12-17,1
CUST-000103,31,Female,West,1,65.08,60.96,One year,5,2,2024-10-15,1
CUST-000104,49,Male,Central,57,42.13,2375.01,Month-to-month,4,3,2024-09-03,0
CUST-000105,48,Female,East,56,64.27,3375.48,Month-to-month,2,4,2021-04-10,0
CUST-000106,67,Male,West,56,30.18,1574.04,Month-to-month,3,2,2023-11-13,1
CUST-000107,54,Male,Central,48,47.18,2081.6,Month-to-month,4,2,2022-12-07,1
CUST-000108,71,Female,Central,34,75.67,2644.91,Month-to-month,2,4,2023-10-27,0
CUST-000109,79,Male,South,51,102.98,5369.71,One year,1,1,2024-05-08,0
CUST-000110,44,Male,Central,20,140.23,2888.83,One year,2,1,2023-03-28,1
CUST-000111,76,Male,East,56,55.34,,Month-to-month,2,4,2021-01-05,0
CUST-000112,29,Female,North,40,105.88,4088.12,Month-to-month,0,3,2024-04-25,0
CUST-000113,79,Female,West,33,76.09,2721.1,Two year,0,5,2022-09-05,0
CUST-000114,29,Female,Central,36,66.22,2495.11,Month-to-month,3,4,2022-10-05,1
CUST-000115,74,Female,South,41,80.81,3515.12,Month-to-month,1,5,2023-03-29,0
CUST-000116,44,Male,East,3,71.55,224.14,Month-to-month,0,4,2024-06-30,0
CUST-000117,82,Male,South,10,72.76,707.0,One year,2,5,2023-01-08,0
CUST-000118,26,Male,North,18,59.79,1029.52,Two year,3,1,2021-10-18,1
CUST-000119,49,Male,Central,9,35.05,310.56,One year,1,3,2023-10-23,0
CUST-000120,78,Male,North,32,31.41,924.11,Two year,1,5,2023-06-06,0
CUST-000121,21,Male,East,48,86.33,4103.46,Two year,4,4,2021-04-02,0
CUST-000122,35,Male,North,47,63.08,2693.86,Month-to-month,0,3,2023-01-16,0
CUST-000123,23,Female,West,34,55.1,1687.54,Month-to-month,4,5,2024-01-05,0
CUST-000124,39,Male,Central,61,70.21,,Month-to-month,2,2,2024-05-22,0
CUST-000125,44,Female,West,41,89.87,3824.2,Month-to-month,2,1,2022-02-01,0
CUST-000126,59,Male,West,6,74.51,452.59,One year,2,4,2023-01-02,1
CUST-000127,35,Female,Central,55,53.6,2854.31,Month-to-month,0,3,2024-02-28,0
CUST-000128,28,Female,Central,41,100.66,,Month-to-month,0,1,2023-03-29,0
CUST-000129,29,Female,Central,46,109.48,5430.48,Month-to-month,3,2,2022-08-11,0
CUST-000130,80,Male,South,41,82.36,3479.67,One year,0,1,2021-09-15,0
CUST-000131,81,Male,East,40,94.34,3850.95,One year,0,5,2021-03-02,0
CUST-000132,32,Female,Central,7,101.05,701.72,Two year,1,5,2023-08-25,0
CUST-000133,31,Female,South,40,98.25,3808.72,Month-to-month,1,5,2024-09-11,0
CUST-000134,21,Male,West,57,85.35,5058.13,Month-to-month,2,1,2023-04-22,1
CUST-000135,82,Female,North,22,84.96,2048.92,Two year,0,5,2023-12-29,0
CUST-000136,65,Male,Central,43,82.99,3514.87,One year,3,3,2023-08-07,0
CUST-000137,68,Male,West,3,42.57,124.96,One year,2,2,2022-05-02,1
CUST-000138,37,Male,West,25,87.52,2156.54,Month-to-month,2,4,2023-01-02,0
CUST-000139,60,Female,Central,32,36.1,1138.0,Month-to-month,3,5,2022-01-14,1
CUST-000140,22,Female,South,70,50.14,3854.2,Two year,3,3,2021-11-09,0
CUST-000141,63,Male,East,16,102.59,1709.32,One year,0,1,2023-04-05,1
CUST-000142,56,Female,Central,20,91.01,1768.94,One year,1,5,2023-06-24,0
CUST-000143,40,Female,North,30,107.18,3132.77,Month-to-month,0,1,2024-10-14,0
CUST-000144,65,Male,Central,71,63.21,4425.79,Month-to-month,1,1,2021-11-27,0
CUST-000145,61,Female,South,61,41.19,2279.78,Month-to-month,3,4,2022-02-11,0
CUST-000146,47,Female,East,3,63.99,193.04,One year,2,4,2021-08-21,1
CUST-000147,30,Female,East,17,72.55,1310.16,Month-to-month,4,4,2024-08-20,0
CUST-000148,19,Male,West,59,71.97,4382.59,Month-to-month,3,5,2023-12-31,0
CUST-000149,80,Female,Central,5,98.34,462.04,Month-to-month,1,5,2022-04-08,1
CUST-000150,36,Male,South,61,60.97,3888.79,Two year,1,1,2024-09-18,0
CUST-000151,38,Male,North,20,78.8,1645.17,Month-to-month,4,2,2023-09-13,1
CUST-000152,63,Female,East,66,45.28,2846.55,Month-to-month,2,4,2022-10-29,0
CUST-000153,35,Female,West,21,81.26,1748.4,One year,2,2,2022-06-19,0
CUST-000154,43,Female,West,31,70.08,2220.69,Two year,2,4,2023-03-08,0
CUST-000155,65,Female,West,47,51.25,2572.44,One year,1,3,2021-04-30,0
CUST-000156,57,Female,South,9,64.1,534.91,Two year,0,3,2021-08-29,1
CUST-000157,61,Female,Central,40,65.4,2456.34,Month-to-month,3,1,2024-08-03,1
CUST-000158,18,Male,North,36,63.25,2270.61,Two year,4,4,2021-10-17,0
CUST-000159,48,Female,North,56,114.28,5816.21,Two year,3,5,2021-08-18,0
CUST-000160,49,Male,North,71,67.54,4714.39,Month-to-month,0,5,2024-04-18,0
CUST-000161,60,Male,Central,48,63.9,3244.01,One year,1,2,2024-08-15,0
CUST-000162,28,Female,North,30,17.56,489.79,Month-to-month,3,4,2024-02-20,0
CUST-000163,28,Female,West,29,47.64,1370.49,Month-to-month,0,1,2021-05-25,1
CUST-000164,69,Male,Central,30,63.42,2088.97,Month-to-month,3,4,2024-03-20,0
CUST-000165,63,Female,West,58,52.85,3068.93,Month-to-month,2,3,2022-01-09,1
CUST-000166,72,Female,Central,23,104.54,2403.61,Two year,0,5,2021-01-16,0
CUST-000167,36,Male,North,12,65.88,799.86,Month-to-month,5,4,2024-07-13,1
CUST-000168,84,Female,East,24,102.21,2298.99,One year,4,1,2022-01-10,1
CUST-000169,36,Male,East,2,71.54,132.98,Month-to-month,0,5,2023-07-11,0
CUST-000170,61,Female,West,8,70.93,587.57,Month-to-month,2,4,2021-04-14,0
CUST-000171,28,Female,West,7,67.78,464.57,Month-to-month,2,2,2021-09-23,1
CUST-000172,79,Female,East,55,70.09,3692.97,Month-to-month,3,2,2024-05-18,0
CUST-000173,40,Female,South,52,112.97,5323.88,One year,3,1,2023-04-09,0
CUST-000174,71,Female,North,50,15.0,801.91,Two year,3,2,2024-10-30,0
CUST-000175,40,Female,East,33,19.96,597.07,Month-to-month,2,5,2021-09-10,0
CUST-000176,70,Male,South,51,56.42,3021.28,Two year,3,5,2024-06-01,0
CUST-000177,48,Male,East,12,70.36,824.39,One year,3,3,2024-05-09,0
CUST-000178,22,Male,West,64,87.25,5694.21,One year,3,2,2024-07-17,0
CUST-000179,30,Female,East,36,81.83,2797.22,Month-to-month,2,2,2021-03-11,1
CUST-000180,63,Female,East,67,60.39,3767.27,Month-to-month,1,5,2021-05-27,0
CUST-000181,30,Male,North,11,95.48,1057.29,Two year,4,1,2023-01-12,0
CUST-000182,36,Male,West,36,95.75,3581.86,One year,3,4,2021-06-11,0
CUST-000183,54,Female,East,50,74.6,3502.84,Month-to-month,2,5,2021-03-30,0
CUST-000184,34,Female,North,36,94.07,3343.42,Two year,0,5,2024-02-10,0
CUST-000185,26,Male,South,32,76.82,2431.03,Month-to-month,3,4,2023-09-01,0
CUST-000186,59,Female,West,12,55.96,633.37,One year,4,5,2024-03-27,1
CUST-000187,64,Female,Central,28,87.45,2480.46,Month-to-month,1,2,2024-08-03,0
CUST-000188,67,Female,East,17,72.77,1149.49,Two year,4,5,2021-07-19,0
CUST-000189,81,Female,Central,22,70.03,1543.66,Month-to-month,1,1,2024-03-09,0
CUST-000190,26,Female,North,49,106.82,4829.51,Month-to-month,0,1,2021-03-03,0
CUST-000191,46,Female,South,45,15.0,673.05,One year,6,1,2022-06-05,1
CUST-000192,33,Female,Central,44,34.56,1463.34,Month-to-month,4,4,2022-02-21,0
CUST-000193,78,Female,North,26,40.32,1038.31,Two year,2,2,2021-11-28,0
CUST-000194,54,Male,West,69,60.92,4147.78,One year,2,4,2023-10-03,0
CUST-000195,24,Male,South,7,63.63,481.75,Month-to-month,4,1,2021-06-19,1
CUST-000196,64,Male,South,25,32.32,806.37,Month-to-month,4,4,2024-02-07,1
CUST-000197,20,Female,East,9,45.37,434.34,Two year,0,2,2024-05-08,1
CUST-000198,36,Male,South,25,48.48,1145.5,One year,2,3,2023-07-21,0
CUST-000199,66,Female,Central,69,131.44,8801.06,Two year,3,1,2021-04-24,0
CUST-000200,51,Male,Central,27,115.04,2842.12,Month-to-month,0,5,2023-04-16,0
CUST-000201,68,Male,East,65,59.71,3819.63,Two year,4,2,2023-05-31,0
CUST-000202,56,Male,East,36,60.91,2266.74,Month-to-month,4,4,2022-06-07,0
CUST-000203,74,Female,North,50,41.27,2203.06,One year,2,3,2022-05-30,0
CUST-000204,55,Male,South,33,22.3,745.6,Month-to-month,2,3,2022-10-19,1
CUST-000205,21,Female,North,19,67.08,1310.23,Month-to-month,1,3,2024-10-26,1
CUST-000206,22,Female,Central,55,45.05,2317.82,Two year,1,1,2021-01-06,0
CUST-000207,70,Female,South,69,67.88,4250.2,Two year,3,5,2022-12-14,0
CUST-000208,20,Male,South,19,29.99,603.05,Month-to-month,0,4,2022-03-20,1
CUST-000209,43,Female,Central,56,50.95,2663.2,Two year,3,2,2023-02-08,0
CUST-000210,19,Female,West,19,73.72,1286.15,Month-to-month,2,1,2021-01-06,0
CUST-000211,38,Male,West,51,79.16,4390.46,Month-to-month,1,5,2024-07-09,0
CUST-000212,57,Male,North,57,80.44,,Month-to-month,2,2,2022-10-02,0
CUST-000213,29,Female,East,32,36.99,1211.2,Month-to-month,5,5,2024-09-19,0
CUST-000214,49,Female,East,53,91.37,4725.07,Month-to-month,4,4,2021-08-04,0
CUST-000215,84,Male,South,20,49.99,1066.43,Month-to-month,4,5,2023-03-29,0
CUST-000216,22,Male,West,6,85.82,484.51,Month-to-month,3,4,2023-08-10,0
CUST-000217,22,Male,Central,7,69.73,481.22,One year,2,1,2024-01-20,0
CUST-000218,36,Female,South,32,35.59,1106.31,Two year,5,1,2021-01-13,1
CUST-000219,73,Male,South,65,62.1,4369.67,One year,1,2,2023-06-08,0
CUST-000220,45,Male,South,10,79.13,857.73,Month-to-month,1,3,2021-07-26,1
CUST-000221,60,Male,Central,33,85.32,2900.53,One year,5,4,2022-08-22,0
CUST-000222,20,Male,North,50,66.48,3065.22,Month-to-month,1,5,2021-03-16,0
CUST-000223,67,Male,Central,15,108.29,1618.56,One year,2,1,2021-03-22,1
CUST-000224,22,Male,West,52,95.19,4697.76,One year,1,4,2023-12-09,0
CUST-000225,65,Female,East,22,63.58,1506.44,Month-to-month,1,1,2023-10-02,1
CUST-000226,27,Female,East,58,88.75,4775.24,Month-to-month,1,3,2024-06-07,0
CUST-000227,75,Male,Central,42,118.34,4527.24,Two year,3,1,2023-09-08,0
CUST-000228,37,Male,West,39,119.01,4831.16,Two year,4,2,2023-04-15,0
CUST-000229,30,Male,South,13,39.3,506.13,One year,3,4,2021-06-13,0
CUST-000230,40,Female,North,33,46.84,1650.32,Two year,2,4,2023-12-08,0
CUST-000231,18,Male,West,61,107.12,5978.42,Two year,3,5,2021-11-19,0
CUST-000232,29,Male,North,2,43.54,92.32,Month-to-month,5,3,2021-05-30,0
CUST-000233,58,Female,North,54,36.94,1810.18,One year,1,2,2023-10-22,0
CUST-000234,38,Male,Central,35,57.85,1833.64,Month-to-month,2,5,2023-04-04,0
CUST-000235,41,Male,East,52,80.51,4154.13,Month-to-month,3,5,2021-07-29,0
CUST-000236,72,Male,West,48,67.44,3056.68,Month-to-month,3,5,2023-02-08,0
CUST-000237,26,Male,South,31,53.74,1697.17,Two year,2,4,2023-08-26,0
CUST-000238,44,Female,North,22,53.14,1058.21,One year,1,4,2022-11-30,0
CUST-000239,30,Female,North,45,52.19,2130.32,Month-to-month,3,1,2023-10-03,1
CUST-000240,50,Male,South,10,48.01,501.91,Month-to-month,1,3,2022-12-08,1
CUST-000241,40,Male,North,42,127.04,5026.39,Month-to-month,1,3,2022-05-10,0
CUST-000242,21,Male,East,7,77.44,559.04,One year,3,2,2021-11-09,1
CUST-000243,22,Female,South,47,92.17,4548.52,Two year,3,1,2021-12-28,0
CUST-000244,75,Male,East,45,57.77,2370.53,Month-to-month,4,2,2024-02-07,1
CUST-000245,21,Male,East,6,65.35,413.25,Month-to-month,0,5,2022-06-07,1
CUST-000246,70,Female,South,54,52.16,2686.19,One year,2,5,2023-09-30,0
CUST-000247,79,Male,East,30,15.0,,Month-to-month,2,4,2022-05-18,0
CUST-000248,49,Male,North,56,35.55,1826.22,Month-to-month,1,1,2023-01-06,0
CUST-000249,38,Male,South,3,24.73,79.21,Month-to-month,3,4,2023-04-30,1
CUST-000250,70,Female,Central,13,15.0,197.37,Month-to-month,2,1,2022-10-31,1
CUST-000251,83,Female,Central,36,40.12,,Month-to-month,2,4,2023-11-08,0
CUST-000252,26,Female,East,14,103.12,1578.97,Two year,1,1,2024-07-17,0
CUST-000253,82,Male,Central,24,68.89,1598.64,Month-to-month,3,2,2024-04-21,1
CUST-000254,81,Female,East,47,102.26,,Month-to-month,1,1,2024-07-13,0
CUST-000255,27,Female,North,11,80.27,921.77,One year,0,5,2021-02-11,0
CUST-000256,21,Male,Central,49,89.56,4764.55,Two year,3,3,2023-11-30,0
CUST-000257,65,Male,East,8,47.48,410.82,Month-to-month,1,5,2023-10-15,0
CUST-000258,23,Male,West,13,83.1,1186.39,Month-to-month,1,1,2022-08-01,1
CUST-000259,58,Female,West,42,88.22,3432.29,One year,2,4,2022-03-16,0
CUST-000260,22,Male,South,57,55.58,3355.62,Month-to-month,3,3,2021-03-16,0
CUST-000261,64,Male,West,13,83.99,1158.36,One year,0,3,2024-03-20,1
CUST-000262,33,Female,East,22,84.15,1904.76,Month-to-month,2,5,2024-03-22,0
CUST-000263,24,Male,South,66,56.26,3548.94,Month-to-month,0,1,2021-04-17,0
CUST-000264,22,Female,South,71,41.93,3253.98,Month-to-month,2,5,2023-03-26,0
CUST-000265,30,Male,West,42,40.4,1596.49,One year,3,1,2023-02-11,0
CUST-000266,54,Male,South,32,72.16,2308.92,Month-to-month,3,2,2021-08-30,1
CUST-000267,23,Female,North,25,78.18,1962.9,Month-to-month,0,1,2023-02-08,0
CUST-000268,71,Female,Central,44,50.19,2059.0,Month-to-month,3,3,2024-02-11,1
CUST-000269,58,Male,South,42,70.66,3099.8,One year,3,3,2022-04-03,0
CUST-000270,37,Female,West,21,84.26,1623.96,Month-to-month,4,4,2023-10-14,0
CUST-000271,84,Female,West,2,85.45,177.5,One year,2,4,2024-09-20,0
CUST-000272,62,Male,Central,11,108.8,1280.24,One year,2,4,2022-09-29,0
CUST-000273,63,Female,West,69,101.92,6820.66,Month-to-month,0,5,2021-05-30,0
CUST-000274,29,Male,West,30,44.97,1405.61,Two year,3,3,2022-02-21,0
CUST-000275,65,Female,Central,35,112.09,,Two year,3,1,2021-07-10,1
CUST-000276,55,Male,Central,34,56.73,2062.27,Month-to-month,1,1,2022-05-09,0
CUST-000277,83,Male,North,56,96.12,5869.35,Month-to-month,2,2,2023-06-21,0
CUST-000278,50,Female,West,5,71.7,333.6,Month-to-month,4,4,2021-10-11,1
CUST-000279,63,Female,North,6,59.7,371.94,Month-to-month,3,1,2022-12-22,0
CUST-000280,40,Male,Central,20,24.81,496.78,Month-to-month,1,5,2024-10-29,0
CUST-000281,20,Female,North,35,65.71,2314.34,Two year,4,5,2022-01-06,0
CUST-000282,26,Male,South,48,31.02,1550.45,Two year,1,1,2024-05-16,1
CUST-000283,76,Female,North,35,94.18,3288.88,Month-to-month,0,4,2022-03-02,0
CUST-000284,67,Female,West,32,107.92,3522.73,Month-to-month,1,3,2023-05-10,0
CUST-000285,42,Female,North,67,50.08,3174.78,Month-to-month,2,3,2021-08-08,0
CUST-000286,64,Female,North,12,77.55,907.99,Month-to-month,0,4,2022-01-11,1
CUST-000287,18,Female,East,41,51.87,2282.02,Month-to-month,1,3,2024-04-29,0
CUST-000288,20,Female,Central,39,54.29,1952.12,Two year,6,2,2023-04-06,0
CUST-000289,51,Female,East,34,89.36,3097.53,Two year,4,3,2023-03-09,0
CUST-000290,59,Male,East,58,69.04,3751.48,Month-to-month,3,1,2022-12-17,0
CUST-000291,80,Female,West,19,113.49,2305.76,One year,1,2,2021-12-09,0
CUST-000292,68,Female,East,68,57.94,4002.21,One year,4,5,2024-07-24,0
CUST-000293,35,Male,South,24,94.98,2235.32,Two year,3,1,2022-07-05,1
CUST-000294,72,Female,East,39,72.44,2683.8,Month-to-month,0,3,2021-01-17,0
CUST-000295,50,Female,North,37,89.89,3283.92,Month-to-month,4,2,2024-06-23,0
CUST-000296,73,Male,South,61,58.82,3916.4,One year,7,3,2021-03-07,0
CUST-000297,29,Male,West,32,68.76,2204.37,Month-to-month,1,2,2024-05-26,0
CUST-000298,19,Male,South,21,67.11,1400.71,One year,6,3,2022-01-08,1
CUST-000299,21,Female,North,2,49.1,103.04,Month-to-month,2,3,2021-04-07,1
CUST-000300,84,Female,North,26,86.55,2195.86,One year,2,4,2021-11-05,0
CUST-000301,23,Female,Central,59,86.26,5015.47,Two year,1,2,2023-07-05,0
CUST-000302,80,Female,South,1,84.84,82.07,Month-to-month,3,3,2023-02-04,0
CUST-000303,66,Male,North,64,108.42,6454.43,Month-to-month,4,4,2021-08-03,0
CUST-000304,27,Female,West,39,106.23,4320.13,One year,1,4,2022-02-25,0
CUST-000305,75,Male,East,10,60.63,651.53,Month-to-month,1,3,2021-10-23,0
CUST-000306,27,Male,East,22,79.33,1886.83,One year,2,2,2023-07-04,1
CUST-000307,27,Male,Central,40,54.41,2342.16,One year,1,3,2024-04-24,0
CUST-000308,56,Female,South,23,70.58,1607.69,Month-to-month,2,3,2021-12-24,0
CUST-000309,37,Male,East,8,55.01,421.07,Two year,4,5,2024-06-07,0
CUST-000310,37,Male,West,48,110.5,5450.31,Month-to-month,1,2,2022-07-26,1
CUST-000311,31,Male,West,48,79.09,4141.56,One year,4,2,2021-04-26,0
CUST-000312,58,Male,South,9,64.55,607.33,Month-to-month,2,4,2022-03-28,1
CUST-000313,19,Female,West,20,99.84,1994.74,Month-to-month,3,4,2024-05-08,1
CUST-000314,34,Female,West,18,15.73,293.83,Month-to-month,4,3,2024-02-06,0
CUST-000315,55,Female,North,47,19.65,973.89,Two year,4,1,2023-10-17,1
CUST-000316,50,Female,North,52,89.9,5066.8,Two year,2,4,2022-07-13,0
CUST-000317,64,Female,West,52,71.51,3914.27,Two year,5,4,2023-12-22,0
CUST-000318,32,Female,North,67,76.26,5041.15,Month-to-month,1,5,2023-09-22,0
CUST-000319,61,Male,Central,55,36.84,1934.46,Month-to-month,4,3,2024-01-14,0
CUST-000320,68,Female,North,23,69.42,1596.62,One year,5,3,2023-02-20,0
